,TotalLivArea,OverallQual,ExterQual,GrLivArea,KitchenQual,TotalBsmtSF,GarageArea,GarageCars,1stFlrSF,TotalBath,BsmtQual,FireplaceQu,Foundation_PConc,FullBath,MasVnrArea,TotRmsAbvGrd,Fireplaces,BsmtFinType1_GLQ,HeatingQC,Neighborhood_NridgHt,Age,GarageFinish_Unf,RemodeledAge,MSZoning_RM,MSZoning_RM,SalePrice
36,2232.0,5,3,1475,3,757.0,336.0,1.0,925,2.0,3,3,1,2,0.0,6,1,0,5,0,29,0,0,1,1,127000
37,3688.0,6,3,1844,3,1844.0,546.0,2.0,1844,2.0,4,3,0,2,480.0,7,1,0,5,0,33,0,0,0,0,190000
38,2484.0,7,3,1242,3,1242.0,528.0,2.0,1242,1.5,3,3,0,1,320.0,6,1,0,2,0,34,1,0,0,0,175500
39,1980.0,5,3,990,3,990.0,384.0,1.0,990,2.0,4,0,1,1,0.0,5,0,1,5,0,13,1,0,0,0,146000
40,2512.0,5,4,1256,3,1256.0,276.0,1.0,1256,2.5,3,0,0,1,0.0,6,0,0,4,0,43,0,0,0,0,147500
41,4152.0,10,5,2076,5,2076.0,850.0,3.0,2076,3.5,5,4,1,2,0.0,7,1,1,5,1,0,0,0,0,0,465000
42,2207.0,5,3,1110,4,1097.0,602.0,2.0,1110,2.0,4,3,1,1,104.0,4,1,1,5,0,31,0,0,0,0,165500
43,2845.0,5,3,1795,3,1050.0,352.0,1.0,1050,2.0,3,0,0,2,335.0,7,0,0,5,0,54,1,0,1,1,131500
44,2080.0,5,3,1040,3,1040.0,384.0,1.0,1040,2.0,3,0,0,1,0.0,5,0,0,5,0,43,1,0,0,0,129500
45,2481.0,8,3,1873,3,608.0,786.0,2.0,983,1.5,3,4,1,1,40.0,9,2,0,3,0,73,0,15,0,0,257076
46,2588.0,5,3,1604,3,984.0,660.0,2.0,984,2.0,3,0,0,2,0.0,6,0,0,5,0,68,1,19,0,0,117000
47,2278.0,7,3,1502,3,776.0,270.0,1.0,851,1.5,4,4,0,1,0.0,6,1,0,3,0,77,0,69,0,0,149000
48,2119.0,5,3,1063,3,1056.0,280.0,1.0,1063,2.0,3,0,0,1,110.0,6,0,0,3,0,56,0,0,0,0,128000
49,2390.0,7,4,1626,4,764.0,474.0,2.0,764,2.5,4,0,1,2,106.0,6,0,0,5,1,5,0,1,0,0,155000
50,2280.0,6,4,1524,4,756.0,440.0,2.0,768,2.5,4,0,1,2,513.0,4,0,1,5,0,6,1,0,0,0,166000
51,3103.0,4,3,1981,4,1122.0,576.0,2.0,1328,3.0,3,3,0,2,0.0,7,2,0,3,0,81,1,22,0,0,135000
52,4176.0,7,3,2784,4,1392.0,564.0,2.0,1392,4.5,4,3,0,3,184.0,12,2,0,3,0,28,0,0,0,0,250000
53,1638.0,4,3,1092,3,546.0,0.0,0.0,546,1.5,3,0,0,1,0.0,5,0,1,5,0,40,0,0,1,1,76000
54,1791.0,6,3,1575,4,216.0,400.0,2.0,1575,1.5,3,4,0,1,522.0,5,1,0,3,0,55,1,0,0,0,155000
55,2015.0,6,3,1352,3,663.0,299.0,1.0,663,1.5,3,0,0,1,143.0,7,0,0,3,0,41,0,0,0,0,158000
56,1800.0,7,4,1200,4,600.0,480.0,2.0,600,3.5,4,0,1,2,0.0,4,0,1,5,0,6,0,1,0,0,149500
57,1872.0,5,3,936,3,936.0,240.0,1.0,936,1.0,3,0,0,1,0.0,5,0,0,3,0,52,1,21,0,0,121000
58,2080.0,6,3,1040,3,1040.0,293.0,1.0,1040,1.5,3,0,0,1,0.0,6,0,0,3,0,54,0,0,0,0,136000
59,2552.0,6,3,1636,3,916.0,386.0,2.0,916,2.5,4,3,1,2,0.0,7,1,0,4,0,12,0,0,0,0,173000
60,3422.0,8,4,2270,4,1152.0,671.0,3.0,1164,2.5,4,4,1,2,348.0,9,1,1,5,0,11,0,8,0,0,290000
61,3794.0,8,4,2610,5,1184.0,550.0,2.0,1184,2.5,4,4,1,2,0.0,11,1,1,5,0,0,0,0,0,0,303477
62,2903.0,7,4,1483,3,1420.0,690.0,2.0,1483,2.5,4,3,0,1,0.0,4,2,0,4,0,33,0,24,0,0,270000
63,2676.0,5,2,1740,5,936.0,225.0,1.0,960,1.0,3,4,0,1,0.0,6,1,0,4,0,88,1,30,1,1,122250
64,2764.0,5,3,1382,4,1382.0,350.0,1.0,1382,1.5,3,0,0,1,0.0,6,0,0,4,0,54,1,0,0,0,153000
65,2240.0,5,3,1120,3,1120.0,0.0,0.0,1120,1.0,4,0,1,1,0.0,6,0,0,5,0,0,0,0,0,0,147000
66,1629.0,7,3,1098,3,531.0,216.0,1.0,567,2.0,4,4,0,1,0.0,5,1,1,3,0,77,1,65,0,0,148500
67,2684.0,7,4,1708,4,976.0,380.0,2.0,976,2.0,4,0,1,2,117.0,7,0,0,5,0,2,1,0,1,1,130000
68,3604.0,9,5,1802,5,1802.0,843.0,3.0,1802,2.5,5,4,1,2,510.0,7,1,0,5,1,1,0,0,0,0,372000
69,2868.0,7,4,1506,4,1362.0,440.0,2.0,1506,2.0,4,4,1,2,145.0,6,1,1,5,0,1,0,0,0,0,213490
70,3016.0,7,4,1508,4,1508.0,572.0,2.0,1508,2.0,4,3,1,1,96.0,5,2,1,5,0,1,0,1,0,0,308030
71,3872.0,7,4,2032,4,1840.0,786.0,3.0,2032,4.0,5,0,1,3,668.0,7,0,1,5,0,12,0,1,0,0,300000
72,1849.0,6,3,1194,3,655.0,539.0,2.0,1194,1.5,3,2,0,1,0.0,6,1,0,5,0,47,0,0,0,0,159500
73,2679.0,7,4,1709,4,970.0,380.0,2.0,970,2.0,4,0,1,2,50.0,7,0,0,5,0,2,1,0,1,1,137500
74,3232.0,7,4,1616,4,1616.0,834.0,3.0,1616,2.0,4,0,1,2,228.0,7,0,0,5,0,1,0,0,0,0,232000
75,1536.0,6,4,768,3,768.0,440.0,2.0,768,1.0,3,0,0,1,0.0,4,0,0,3,0,78,1,20,1,1,93850
76,1744.0,5,3,872,2,872.0,322.0,1.0,872,1.0,3,4,0,1,65.0,5,1,0,2,0,82,1,26,0,0,105000
77,1040.0,4,3,520,2,520.0,240.0,1.0,520,1.0,3,0,0,1,0.0,4,0,0,2,0,81,1,23,1,1,68500
78,3379.0,5,3,2274,3,1105.0,480.0,2.0,1105,2.0,3,0,0,2,361.0,12,0,0,3,0,50,1,0,0,0,154300
79,2537.0,5,4,1601,3,936.0,0.0,0.0,936,2.0,3,0,0,2,0.0,6,0,0,5,0,82,0,78,1,1,129850
80,1848.0,5,3,1232,3,616.0,480.0,2.0,616,1.0,3,0,0,1,0.0,6,0,0,5,0,97,1,40,1,1,114000
81,4450.0,9,5,2234,5,2216.0,1166.0,3.0,2234,3.0,5,4,1,2,748.0,9,1,1,5,0,1,0,1,0,0,501837
82,2292.0,5,3,1416,3,876.0,720.0,3.0,876,1.5,3,4,0,1,0.0,7,1,0,4,0,93,1,35,1,1,153900
83,1728.0,4,3,864,3,864.0,576.0,2.0,864,1.0,3,0,0,1,0.0,5,0,0,4,0,38,1,35,0,0,130000
84,2378.0,6,3,1189,3,1189.0,392.0,2.0,1189,3.0,5,0,1,2,197.0,4,0,1,5,0,11,0,0,1,1,160500
85,3332.0,9,5,1666,4,1666.0,575.0,2.0,1666,3.0,5,4,1,2,572.0,6,1,1,5,1,0,0,0,0,0,310090
86,2376.0,7,4,1200,4,1176.0,555.0,2.0,1200,3.0,4,0,1,2,0.0,5,0,1,5,0,6,0,0,0,0,184900
87,1856.0,5,3,928,3,928.0,252.0,1.0,928,1.0,4,0,0,1,0.0,4,0,0,3,0,51,1,44,0,0,132000
88,2624.0,5,3,1336,3,1288.0,502.0,2.0,1336,2.5,4,2,0,2,128.0,6,1,0,3,0,40,0,0,0,0,163000
89,1800.0,7,4,1200,4,600.0,480.0,2.0,600,2.5,4,0,1,2,120.0,4,0,1,5,0,6,0,0,0,0,155000
90,2854.0,6,3,1427,3,1427.0,516.0,2.0,1427,2.5,3,0,0,2,0.0,7,0,1,4,0,39,0,0,0,0,183000
91,2852.0,7,4,1992,4,860.0,608.0,2.0,1212,3.5,4,3,1,2,254.0,7,2,1,5,0,11,0,6,0,0,211000
92,2294.0,7,4,1540,4,754.0,495.0,2.0,754,3.5,4,0,1,2,0.0,6,0,0,5,0,15,0,0,0,0,184000
93,1535.0,5,3,1535,3,0.0,400.0,2.0,1535,2.0,0,0,0,2,0.0,8,0,0,3,0,30,1,0,0,0,118858
94,2304.0,5,3,1152,3,1152.0,484.0,2.0,1152,2.0,3,4,1,1,86.0,6,1,1,3,0,46,0,0,0,0,180500
95,2292.0,8,4,1151,4,1141.0,484.0,2.0,1151,3.0,4,0,1,2,30.0,5,0,1,5,0,1,0,1,0,0,166000
96,2276.0,6,3,1138,3,1138.0,480.0,2.0,1138,1.5,3,3,0,1,54.0,6,1,0,5,0,49,0,0,0,0,148000
97,1968.0,5,3,1074,4,894.0,396.0,2.0,1074,1.0,3,4,0,1,0.0,6,1,0,4,0,51,1,0,0,0,124000
98,3122.0,9,5,1561,5,1561.0,556.0,2.0,1561,3.0,5,4,1,2,246.0,6,1,1,5,1,2,0,0,0,0,277500
99,4068.0,8,4,2726,4,1342.0,725.0,3.0,1358,2.5,4,5,1,2,397.0,9,1,0,5,0,11,0,0,0,0,350000
100,3768.0,9,5,1884,5,1884.0,670.0,3.0,1884,3.0,5,4,1,2,296.0,7,1,1,5,0,4,0,0,0,0,387000
101,1133.0,4,3,605,3,528.0,0.0,0.0,605,2.0,3,0,0,1,0.0,5,0,0,5,0,87,0,82,0,0,86000
102,3097.0,8,5,1671,5,1426.0,550.0,2.0,1671,4.0,4,4,0,3,0.0,6,1,1,5,0,32,0,31,0,0,290000
103,1042.0,3,3,797,3,245.0,0.0,0.0,797,1.0,2,0,0,1,0.0,5,0,0,3,0,109,0,50,0,0,44000
104,2765.0,6,3,1961,4,804.0,560.0,2.0,804,3.5,5,3,1,2,0.0,7,1,0,5,0,8,0,1,0,0,215000
105,2346.0,5,3,1193,3,1153.0,501.0,2.0,1193,3.0,4,0,0,2,144.0,6,0,1,5,0,34,0,0,0,0,146500
106,2055.0,7,4,1382,4,673.0,490.0,2.0,673,3.5,4,0,1,2,0.0,6,0,1,5,0,6,1,0,0,0,165000
107,3240.0,6,3,2526,4,714.0,216.0,1.0,1664,2.0,3,4,0,2,0.0,10,1,0,3,0,91,1,34,1,1,136000
108,3095.0,6,3,1390,5,1705.0,550.0,2.0,1390,2.5,4,4,0,1,902.0,4,2,0,5,0,49,1,0,0,0,252000
109,2390.0,7,4,1626,4,764.0,474.0,2.0,764,2.5,4,0,1,2,106.0,6,0,0,5,1,7,0,0,0,0,175500
110,2248.0,5,3,1558,3,690.0,400.0,2.0,868,1.5,3,4,0,1,0.0,7,1,0,3,0,70,1,11,1,1,150000
111,2400.0,5,3,1422,3,978.0,286.0,1.0,1422,1.0,3,3,0,1,0.0,6,1,0,3,0,47,0,18,0,0,139900
112,2651.0,5,3,1573,3,1078.0,360.0,2.0,1128,2.0,3,4,1,2,0.0,8,1,0,3,0,78,1,62,1,1,162900
113,2232.0,6,3,1116,3,1116.0,440.0,2.0,1116,1.5,3,0,0,1,261.0,5,0,0,3,0,48,1,0,0,0,160000
114,660.0,2,3,660,2,0.0,0.0,0.0,660,1.0,0,0,0,1,0.0,5,0,0,2,0,62,0,3,0,0,63900
115,2847.0,6,3,1707,3,1140.0,479.0,2.0,1707,2.0,3,3,1,2,144.0,7,1,0,4,0,31,0,20,0,0,184000
116,2932.0,5,3,1466,2,1466.0,528.0,2.0,1466,1.5,3,4,0,1,132.0,6,2,0,3,0,47,0,0,0,0,149900
117,3252.0,9,4,1638,5,1614.0,495.0,2.0,1638,3.0,4,3,1,2,260.0,5,1,1,5,0,8,0,0,0,0,300000
118,2709.0,5,3,1721,3,988.0,626.0,2.0,1721,3.0,3,3,0,2,275.0,7,2,0,4,0,48,1,0,0,0,145000
119,2692.0,6,3,1764,4,928.0,470.0,2.0,928,3.5,4,0,1,2,0.0,7,0,1,5,0,12,0,0,0,0,231500
120,1992.0,5,3,996,3,996.0,0.0,0.0,996,2.0,3,4,0,1,0.0,6,1,0,5,0,68,0,29,0,0,108000
121,2404.0,5,3,1202,3,1202.0,304.0,1.0,1202,1.5,3,0,0,1,0.0,6,0,0,3,0,53,0,0,0,0,120000
122,1976.0,5,3,988,3,988.0,572.0,2.0,988,2.0,3,0,0,1,57.0,5,0,0,3,0,46,1,0,0,0,128500
123,2036.0,5,3,1028,3,1008.0,360.0,2.0,1028,1.0,3,4,0,1,0.0,5,1,0,4,0,83,1,23,1,1,115000
124,2004.0,5,3,1284,3,720.0,240.0,1.0,720,1.5,3,0,0,1,0.0,5,0,0,3,0,62,1,3,1,1,110000
125,3938.0,9,4,2944,4,994.0,864.0,3.0,1599,3.0,4,4,0,2,1050.0,9,1,1,3,0,31,0,0,0,0,150000
126,2121.0,8,4,1414,4,707.0,403.0,2.0,707,2.5,5,4,1,2,0.0,6,1,0,5,0,2,0,0,0,0,178000
127,2246.0,7,3,1609,4,637.0,579.0,3.0,959,1.5,3,4,0,1,0.0,8,2,0,5,0,74,1,58,0,0,199500
128,2338.0,6,3,1525,3,813.0,400.0,2.0,813,3.5,3,3,1,2,0.0,6,1,1,5,0,9,0,1,0,0,183500
129,2280.0,5,2,1656,3,624.0,288.0,1.0,1092,1.5,4,1,0,1,0.0,7,1,0,5,0,41,1,0,1,1,126000
130,2110.0,7,3,1055,3,1055.0,440.0,2.0,1055,2.0,4,0,0,2,0.0,4,0,0,2,0,31,1,0,0,0,148500
131,2028.0,5,3,1352,4,676.0,720.0,2.0,676,2.5,3,0,0,2,0.0,7,0,0,5,0,70,1,67,0,0,149000
132,2311.0,6,3,1456,3,855.0,440.0,2.0,855,2.5,4,3,0,2,0.0,6,1,0,3,0,32,1,0,0,0,137900
133,3438.0,8,4,1719,4,1719.0,473.0,2.0,1719,3.5,4,4,1,1,0.0,6,2,1,5,0,15,0,0,0,0,324000
134,1728.0,5,3,864,3,864.0,0.0,0.0,864,2.0,3,0,0,1,0.0,5,0,0,3,0,83,0,25,0,0,98000
135,1470.0,6,3,987,3,483.0,264.0,1.0,483,2.0,3,0,0,1,359.0,5,0,0,3,0,35,1,0,1,1,103400
136,1800.0,5,3,1020,3,780.0,0.0,0.0,780,1.0,3,0,0,1,0.0,6,0,0,4,0,135,0,121,0,0,94000
137,3108.0,8,4,1554,4,1554.0,627.0,2.0,1554,2.0,4,4,1,2,108.0,6,1,1,5,1,1,0,0,0,0,209500
138,4918.0,10,5,3390,5,1528.0,758.0,3.0,1528,3.5,5,5,1,3,662.0,10,1,0,5,0,0,0,0,0,0,545224
139,2340.0,6,4,1560,4,780.0,0.0,0.0,780,1.5,3,0,1,1,0.0,7,0,0,5,0,98,0,97,1,1,159900
140,1728.0,4,3,864,3,864.0,400.0,2.0,864,1.0,3,0,0,1,0.0,4,0,0,5,0,59,1,0,0,0,141000
141,2871.0,6,3,1889,3,982.0,431.0,2.0,1008,2.5,4,3,1,2,0.0,9,1,0,5,0,6,0,0,0,0,215000
142,2080.0,5,3,1040,3,1040.0,260.0,1.0,1040,2.5,3,0,0,1,0.0,6,0,0,5,0,48,1,48,0,0,127000
143,2344.0,5,3,1172,3,1172.0,366.0,1.0,1172,2.0,3,0,0,1,0.0,5,0,0,3,0,56,0,44,0,0,128000
144,3060.0,8,4,1418,4,1642.0,852.0,3.0,1418,2.5,5,4,1,1,0.0,6,1,1,5,0,0,0,0,0,0,267916
145,2251.0,6,3,1367,3,884.0,560.0,1.0,959,1.0,3,4,0,1,0.0,6,1,0,3,0,76,1,19,1,1,127500
146,1922.0,7,4,1922,4,0.0,672.0,2.0,495,3.0,0,5,0,3,500.0,7,1,0,5,0,6,0,0,0,0,198500
147,2844.0,6,3,1422,4,1422.0,576.0,2.0,1422,2.0,4,3,0,2,210.0,7,1,1,3,0,27,0,0,0,0,175500
148,2827.0,7,4,1842,4,985.0,486.0,2.0,985,3.5,4,3,1,2,144.0,7,1,1,5,0,7,0,0,0,0,217500
149,2850.0,4,3,1962,3,888.0,572.0,2.0,888,1.5,3,3,0,1,0.0,9,1,0,5,0,95,1,35,1,1,149500
150,1984.0,5,4,1120,3,864.0,656.0,2.0,1120,1.5,3,3,1,1,165.0,5,1,0,5,0,43,0,38,0,0,148800
151,4860.0,9,4,2868,5,1992.0,716.0,3.0,1992,3.5,5,4,1,3,208.0,11,1,1,5,0,1,0,1,0,0,556581
152,2956.0,6,3,1478,3,1478.0,442.0,2.0,1478,2.5,3,4,0,1,0.0,6,2,0,4,0,52,0,0,0,0,156500
153,2925.0,7,4,1995,4,930.0,610.0,2.0,950,3.5,4,3,1,2,0.0,8,1,1,5,0,11,0,1,0,0,237000
154,1824.0,5,3,912,3,912.0,297.0,1.0,912,1.5,3,0,0,1,0.0,5,0,0,2,0,49,0,27,0,0,120000
155,2652.0,6,3,1326,4,1326.0,388.0,2.0,1326,3.0,4,0,1,2,0.0,6,0,1,5,0,2,0,0,0,0,203000
156,2395.0,8,3,1204,3,1191.0,461.0,2.0,1204,2.0,4,0,0,2,0.0,5,0,0,3,0,19,0,0,0,0,130000
157,2391.0,6,3,1611,3,780.0,442.0,2.0,798,2.5,3,0,0,1,360.0,7,0,1,3,0,44,0,0,0,0,167900
158,1920.0,4,3,960,3,960.0,576.0,2.0,960,2.0,3,0,0,1,160.0,6,0,0,3,0,36,1,0,0,0,129000
159,2306.0,5,3,1236,4,1070.0,447.0,1.0,1236,1.5,3,2,0,1,64.0,6,1,0,3,0,49,1,39,0,0,134450
160,2232.0,5,3,1416,4,816.0,576.0,2.0,1416,2.0,3,0,0,2,0.0,7,0,0,5,0,89,1,89,0,0,112000
161,2802.0,7,4,1873,4,929.0,619.0,2.0,946,3.5,4,3,1,2,360.0,7,1,1,5,0,19,0,0,0,0,207000
162,3168.0,5,3,2128,3,1040.0,0.0,0.0,1088,2.0,3,0,0,2,0.0,11,0,0,3,0,87,0,28,1,1,62500
163,2390.0,7,4,1626,4,764.0,474.0,2.0,764,3.5,4,0,1,2,106.0,6,0,1,5,1,5,0,1,0,0,154000
164,1632.0,5,3,816,3,816.0,308.0,1.0,816,2.0,3,0,0,1,0.0,5,0,1,3,0,49,1,0,0,0,129900
165,1648.0,5,3,1112,3,536.0,336.0,1.0,536,1.5,4,0,0,1,0.0,4,0,0,3,0,34,1,0,1,1,85000
166,1683.0,7,3,1111,3,572.0,288.0,1.0,572,1.0,3,4,1,1,0.0,5,1,0,3,0,82,1,24,1,1,116900
167,2296.0,6,3,1441,3,855.0,440.0,2.0,855,2.5,3,3,0,2,0.0,7,1,0,3,0,31,1,0,0,0,148500
168,1596.0,4,3,924,2,672.0,280.0,1.0,672,2.0,4,0,0,1,0.0,5,0,0,2,0,69,1,9,0,0,80000
169,2186.0,5,3,1126,3,1060.0,506.0,2.0,1126,2.0,4,0,1,1,0.0,5,0,0,3,0,24,1,0,0,0,152000
170,1373.0,5,3,992,3,381.0,319.0,1.0,992,1.0,2,0,0,1,0.0,6,0,0,5,0,56,1,0,0,0,155891
171,2144.0,6,3,1376,4,768.0,576.0,2.0,752,1.0,3,0,1,1,0.0,7,0,0,5,0,87,1,30,0,0,165000
172,2436.0,7,4,1218,4,1218.0,676.0,2.0,1218,2.0,4,0,1,2,0.0,4,0,0,5,0,1,0,1,0,0,204500
173,2372.0,5,3,1644,4,728.0,312.0,1.0,888,1.5,3,4,0,1,224.0,7,2,0,5,0,65,1,53,0,0,146500
174,2872.0,7,3,1601,3,1271.0,478.0,2.0,1601,2.0,4,3,0,2,206.0,7,1,0,3,0,31,0,0,0,0,157000
175,3808.0,7,3,2495,3,1313.0,342.0,2.0,1313,2.0,3,4,0,2,0.0,10,1,0,4,0,118,1,109,1,1,184000
176,2292.0,6,4,1509,4,783.0,393.0,2.0,807,3.5,4,4,1,2,0.0,7,1,1,5,0,4,0,1,0,0,183200
177,2184.0,5,3,1092,3,1092.0,288.0,1.0,1092,1.5,3,1,0,1,116.0,6,1,0,3,0,47,1,0,0,0,139000
178,3729.0,7,4,2418,4,1311.0,983.0,3.0,1325,3.5,4,3,1,2,651.0,9,1,1,5,0,15,0,1,0,0,341000
179,1470.0,6,3,987,3,483.0,264.0,1.0,483,1.5,3,0,0,1,504.0,5,0,0,3,0,39,1,0,1,1,96000
180,2242.0,4,3,1121,3,1121.0,440.0,2.0,1121,2.0,4,0,1,2,0.0,5,0,0,5,0,7,0,1,1,1,140000
181,2148.0,6,3,1236,3,912.0,923.0,2.0,1236,2.0,3,0,0,1,0.0,6,0,1,3,0,53,1,39,1,1,149700
182,2130.0,5,3,1074,3,1056.0,495.0,2.0,1074,2.5,4,0,0,1,0.0,6,0,0,5,0,31,0,0,0,0,153500
183,733.0,1,2,733,2,0.0,487.0,2.0,733,1.0,0,0,0,1,0.0,4,0,0,1,0,56,1,0,0,0,13100
184,2652.0,7,4,1768,4,884.0,543.0,2.0,884,3.5,4,0,1,2,252.0,8,0,1,5,0,5,0,0,0,0,224900
185,2523.0,7,4,1266,4,1257.0,453.0,2.0,1266,2.0,4,3,1,2,0.0,6,1,0,5,0,1,1,0,0,0,176000
186,4555.0,8,4,2872,4,1683.0,541.0,2.0,2129,2.5,4,3,1,2,337.0,9,1,1,5,0,15,0,8,0,0,285000
187,2949.0,8,4,1464,4,1485.0,754.0,3.0,1464,3.0,4,0,1,2,84.0,6,0,1,5,0,0,1,0,0,0,282922
188,3081.0,7,3,2157,4,924.0,487.0,2.0,1216,2.5,3,4,0,2,309.0,8,2,0,5,0,40,0,0,0,0,226000
189,3810.0,8,5,2576,5,1234.0,666.0,3.0,1264,2.5,5,4,1,2,466.0,10,1,0,5,0,0,0,0,0,0,361919
190,4196.0,9,4,2798,5,1398.0,670.0,3.0,1414,4.5,5,4,1,3,600.0,11,1,1,5,0,1,0,1,0,0,457347
191,2709.0,8,4,1743,4,966.0,529.0,2.0,1743,2.5,4,2,0,0,0.0,5,2,0,5,0,31,0,0,0,0,279000
192,3134.0,6,3,1567,4,1567.0,714.0,2.0,1567,3.0,3,3,1,2,0.0,5,2,0,3,0,32,0,0,0,0,196000
193,2460.0,7,3,1370,3,1090.0,479.0,2.0,1370,2.0,4,3,0,2,189.0,6,1,0,3,0,33,0,0,0,0,152000
